"File","Exists","Size"
"package.json","True","944"
"tsconfig.json","True","902"
"next.config.ts","True","1305"
"prisma.config.ts","True","254"
"auth.ts","True","2220"
"auth.config.ts","True","626"
"app\layout.tsx","True","853"
"app\page.tsx","True","104"
